Node 0, start at 849, n: 2, c:11
Node 1, start at 407, n: 2, c:11
Node 2, start at 37, n: 2, c:11
Node 3, start at 793, n: 2, c:11
Node 4, start at 583, n: 2, c:11
Node 5, start at 247, n: 3, c:11
Node 6, start at 275, n: 5, c:11
Node 7, start at 533, n: 2, c:11
Node 8, start at 658, n: 2, c:11
Node 9, start at 374, n: 7, c:11
Node 10, start at 696, n: 5, c:11
Node 11, start at 356, n: 53, c:11
Node 12, start at 377, n: 2, c:11
Node 13, start at 130, n: 2, c:11
Node 14, start at 356, n: 3, c:11
Node 15, start at 591, n: 2, c:11
Node 16, start at 207, n: 5, c:11
Node 17, start at 590, n: 7, c:11
Node 18, start at 255, n: 2, c:11
Node 19, start at 83, n: 3, c:11
Node 20, start at 277, n: 2, c:11
Node 21, start at 389, n: 2, c:11
Node 22, start at 573, n: 2, c:11
Node 23, start at 224, n: 2, c:11
Node 24, start at 795, n: 2, c:11
Node 25, start at 288, n: 2, c:11
Node 26, start at 671, n: 53, c:11
Node 27, start at 430, n: 2, c:11
Node 28, start at 609, n: 5, c:11
Node 29, start at 529, n: 3, c:11
Node 30, start at 806, n: 5, c:11
Node 31, start at 53, n: 53, c:11
Node 32, start at 302, n: 2, c:11
Node 33, start at 659, n: 53, c:11
Node 34, start at 541, n: 53, c:11
Node 35, start at 392, n: 53, c:11
Node 36, start at 812, n: 53, c:11
Node 37, start at 214, n: 7, c:11
Node 38, start at 313, n: 2, c:11
Node 39, start at 185, n: 2, c:11
Node 40, start at 991, n: 7, c:11
Node 41, start at 429, n: 3, c:11
Node 42, start at 785, n: 7, c:11
Node 43, start at 977, n: 2, c:11
Node 44, start at 704, n: 5, c:11
Node 45, start at 915, n: 2, c:11
Node 46, start at 204, n: 5, c:11
Node 47, start at 470, n: 7, c:11
Node 48, start at 974, n: 2, c:11
Node 49, start at 753, n: 2, c:11
Node 50, start at 966, n: 2, c:11
Node 51, start at 617, n: 2, c:11
Node 52, start at 221, n: 53, c:11
Node 53, start at 55, n: 7, c:11
Node 54, start at 232, n: 3, c:11
Node 55, start at 979, n: 7, c:11
Node 56, start at 476, n: 2, c:11
Node 57, start at 589, n: 2, c:11
Node 58, start at 25, n: 2, c:11
Node 59, start at 549, n: 53, c:11
Node 60, start at 411, n: 2, c:11
Node 61, start at 335, n: 5, c:11
Node 62, start at 264, n: 2, c:11
Node 63, start at 586, n: 53, c:11
Node 64, start at 635, n: 2, c:11
Node 65, start at 114, n: 3, c:11
Node 66, start at 230, n: 2, c:11
Node 67, start at 229, n: 2, c:11
Node 68, start at 173, n: 2, c:11
Node 69, start at 408, n: 7, c:11
Node 70, start at 19, n: 53, c:11
Node 71, start at 329, n: 53, c:11
Node 72, start at 907, n: 5, c:11
Node 73, start at 988, n: 5, c:11
Node 74, start at 751, n: 2, c:11
Node 75, start at 331, n: 2, c:11
Node 76, start at 51, n: 2, c:11
Node 77, start at 204, n: 7, c:11
Node 78, start at 331, n: 5, c:11
Node 79, start at 312, n: 2, c:11
Node 80, start at 392, n: 2, c:11
Node 81, start at 616, n: 2, c:11
Node 82, start at 611, n: 53, c:11
Node 83, start at 334, n: 3, c:11
Node 84, start at 703, n: 2, c:11
Node 85, start at 607, n: 2, c:11
Node 86, start at 677, n: 2, c:11
Node 87, start at 330, n: 2, c:11
Node 88, start at 306, n: 7, c:11
Node 89, start at 683, n: 2, c:11
Node 90, start at 478, n: 7, c:11
Node 91, start at 140, n: 3, c:11
Node 92, start at 638, n: 7, c:11
Node 93, start at 39, n: 5, c:11
Node 94, start at 384, n: 2, c:11
Node 95, start at 925, n: 2, c:11
Node 96, start at 452, n: 7, c:11
Node 97, start at 295, n: 53, c:11
Node 98, start at 74, n: 2, c:11
Node 99, start at 932, n: 2, c:11
Node 100, start at 743, n: 7, c:11
Node 101, start at 145, n: 2, c:11
Node 102, start at 630, n: 2, c:11
Node 103, start at 649, n: 7, c:11
Node 104, start at 273, n: 2, c:11
Node 105, start at 101, n: 5, c:11
Node 106, start at 563, n: 2, c:11
Node 107, start at 633, n: 2, c:11
Node 108, start at 21, n: 2, c:11
Node 109, start at 786, n: 5, c:11
Node 110, start at 237, n: 2, c:11
Node 111, start at 67, n: 5, c:11
Node 112, start at 861, n: 2, c:11
Node 113, start at 496, n: 2, c:11
Node 114, start at 427, n: 7, c:11
Node 115, start at 390, n: 2, c:11
Node 116, start at 592, n: 2, c:11
Node 117, start at 94, n: 2, c:11
Node 118, start at 143, n: 2, c:11
Node 119, start at 171, n: 2, c:11
Node 120, start at 360, n: 2, c:11
Node 121, start at 830, n: 2, c:11
Node 122, start at 262, n: 7, c:11
Node 123, start at 359, n: 2, c:11
Node 124, start at 686, n: 2, c:11
Node 125, start at 694, n: 5, c:11
Node 126, start at 871, n: 5, c:11
Node 127, start at 754, n: 5, c:11
Node 128, start at 90, n: 2, c:11
Node 129, start at 991, n: 2, c:11
Node 130, start at 575, n: 5, c:11
Node 131, start at 446, n: 2, c:11
Node 132, start at 653, n: 2, c:11
Node 133, start at 950, n: 2, c:11
Node 134, start at 115, n: 2, c:11
Node 135, start at 564, n: 7, c:11
Node 136, start at 694, n: 53, c:11
Node 137, start at 558, n: 2, c:11
Node 138, start at 459, n: 2, c:11
Node 139, start at 771, n: 53, c:11
Node 140, start at 483, n: 5, c:11
Node 141, start at 445, n: 2, c:11
Node 142, start at 895, n: 7, c:11
Node 143, start at 627, n: 2, c:11
Node 144, start at 453, n: 53, c:11
Node 145, start at 652, n: 2, c:11
Node 146, start at 119, n: 7, c:11
Node 147, start at 469, n: 3, c:11
Node 148, start at 490, n: 5, c:11
Node 149, start at 42, n: 3, c:11
Node 150, start at 339, n: 5, c:11
Node 151, start at 184, n: 53, c:11
Node 152, start at 769, n: 2, c:11
Node 153, start at 609, n: 2, c:11
Node 154, start at 880, n: 53, c:11
Node 155, start at 891, n: 2, c:11
Node 156, start at 631, n: 7, c:11
Node 157, start at 821, n: 7, c:11
Node 158, start at 491, n: 53, c:11
Node 159, start at 228, n: 7, c:11
Node 160, start at 155, n: 7, c:11
Node 161, start at 250, n: 2, c:11
Node 162, start at 704, n: 2, c:11
Node 163, start at 930, n: 2, c:11
Node 164, start at 507, n: 2, c:11
Node 165, start at 871, n: 2, c:11
Node 166, start at 712, n: 53, c:11
Node 167, start at 229, n: 2, c:11
Node 168, start at 506, n: 2, c:11
Node 169, start at 409, n: 2, c:11
Node 170, start at 409, n: 2, c:11
Node 171, start at 166, n: 2, c:11
Node 172, start at 776, n: 2, c:11
Node 173, start at 236, n: 2, c:11
Node 174, start at 272, n: 53, c:11
Node 175, start at 938, n: 2, c:11
Node 176, start at 37, n: 2, c:11
Node 177, start at 663, n: 2, c:11
Node 178, start at 926, n: 3, c:11
Node 179, start at 461, n: 5, c:11
Node 180, start at 2, n: 53, c:11
Node 181, start at 767, n: 53, c:11
Node 182, start at 763, n: 2, c:11
Node 183, start at 791, n: 2, c:11
Node 184, start at 136, n: 2, c:11
Node 185, start at 544, n: 3, c:11
Node 186, start at 301, n: 2, c:11
Node 187, start at 152, n: 5, c:11
Node 188, start at 605, n: 2, c:11
Node 189, start at 737, n: 2, c:11
Node 190, start at 951, n: 2, c:11
Node 191, start at 768, n: 2, c:11
Node 192, start at 778, n: 2, c:11
Node 193, start at 128, n: 2, c:11
Node 194, start at 695, n: 7, c:11
Node 195, start at 800, n: 2, c:11
Node 196, start at 644, n: 5, c:11
Node 197, start at 697, n: 5, c:11
Node 198, start at 655, n: 2, c:11
Node 199, start at 329, n: 2, c:11
Node 200, start at 315, n: 53, c:11
Node 201, start at 442, n: 2, c:11
Node 202, start at 913, n: 5, c:11
Node 203, start at 503, n: 2, c:11
Node 204, start at 501, n: 5, c:11
Node 205, start at 209, n: 2, c:11
Node 206, start at 607, n: 2, c:11
Node 207, start at 891, n: 3, c:11
Node 208, start at 217, n: 2, c:11
Node 209, start at 788, n: 3, c:11
Node 210, start at 80, n: 2, c:11
Node 211, start at 315, n: 53, c:11
Node 212, start at 467, n: 2, c:11
Node 213, start at 790, n: 2, c:11
Node 214, start at 652, n: 2, c:11
Node 215, start at 409, n: 2, c:11
Node 216, start at 66, n: 3, c:11
Node 217, start at 688, n: 2, c:11
Node 218, start at 498, n: 2, c:11
Node 219, start at 35, n: 2, c:11
Node 220, start at 947, n: 2, c:11
Node 221, start at 700, n: 2, c:11
Node 222, start at 484, n: 5, c:11
Node 223, start at 55, n: 7, c:11
Node 224, start at 298, n: 7, c:11
Node 225, start at 146, n: 2, c:11
Node 226, start at 520, n: 2, c:11
Node 227, start at 477, n: 5, c:11
Node 228, start at 667, n: 2, c:11
Node 229, start at 481, n: 5, c:11
Node 230, start at 916, n: 7, c:11
Node 231, start at 754, n: 2, c:11
Node 232, start at 253, n: 53, c:11
Node 233, start at 443, n: 3, c:11
Node 234, start at 678, n: 53, c:11
Node 235, start at 936, n: 2, c:11
Node 236, start at 528, n: 2, c:11
Node 237, start at 889, n: 2, c:11
Node 238, start at 399, n: 2, c:11
Node 239, start at 171, n: 2, c:11
Node 240, start at 596, n: 7, c:11
Node 241, start at 343, n: 5, c:11
Node 242, start at 820, n: 2, c:11
Node 243, start at 922, n: 2, c:11
Node 244, start at 15, n: 2, c:11
Node 245, start at 163, n: 2, c:11
Node 246, start at 976, n: 2, c:11
Node 247, start at 458, n: 7, c:11
Node 248, start at 899, n: 3, c:11
Node 249, start at 561, n: 53, c:11
Node 250, start at 706, n: 5, c:11
Node 251, start at 224, n: 2, c:11
Node 252, start at 259, n: 5, c:11
Node 253, start at 291, n: 7, c:11
Node 254, start at 64, n: 53, c:11
Node 255, start at 248, n: 2, c:11
Node 256, start at 318, n: 53, c:11
Node 257, start at 620, n: 5, c:11
Node 258, start at 416, n: 53, c:11
Node 259, start at 382, n: 5, c:11
Node 260, start at 709, n: 2, c:11
Node 261, start at 273, n: 2, c:11
Node 262, start at 730, n: 5, c:11
Node 263, start at 452, n: 5, c:11
Node 264, start at 659, n: 7, c:11
Node 265, start at 466, n: 2, c:11
Node 266, start at 939, n: 2, c:11
Node 267, start at 618, n: 2, c:11
Node 268, start at 461, n: 5, c:11
Node 269, start at 324, n: 5, c:11
Node 270, start at 90, n: 5, c:11
Node 271, start at 197, n: 2, c:11
Node 272, start at 41, n: 2, c:11
Node 273, start at 852, n: 3, c:11
Node 274, start at 114, n: 2, c:11
Node 275, start at 965, n: 7, c:11
Node 276, start at 253, n: 2, c:11
Node 277, start at 674, n: 2, c:11
Node 278, start at 707, n: 2, c:11
Node 279, start at 94, n: 2, c:11
Node 280, start at 764, n: 3, c:11
Node 281, start at 482, n: 2, c:11
Node 282, start at 896, n: 53, c:11
Node 283, start at 404, n: 2, c:11
Node 284, start at 146, n: 2, c:11
Node 285, start at 769, n: 2, c:11
Node 286, start at 191, n: 2, c:11
Node 287, start at 765, n: 53, c:11
Node 288, start at 708, n: 53, c:11
Node 289, start at 73, n: 2, c:11
Node 290, start at 617, n: 3, c:11
Node 291, start at 668, n: 2, c:11
Node 292, start at 845, n: 5, c:11
Node 293, start at 332, n: 7, c:11
Node 294, start at 68, n: 2, c:11
Node 295, start at 579, n: 3, c:11
Node 296, start at 134, n: 2, c:11
Node 297, start at 562, n: 2, c:11
Node 298, start at 197, n: 2, c:11
Node 299, start at 501, n: 7, c:11
Node 300, start at 902, n: 2, c:11
Node 301, start at 305, n: 2, c:11
Node 302, start at 446, n: 2, c:11
Node 303, start at 124, n: 2, c:11
Node 304, start at 893, n: 3, c:11
Node 305, start at 630, n: 5, c:11
Node 306, start at 465, n: 2, c:11
Node 307, start at 864, n: 7, c:11
Node 308, start at 518, n: 7, c:11
Node 309, start at 375, n: 2, c:11
Node 310, start at 344, n: 2, c:11
Node 311, start at 736, n: 2, c:11
Node 312, start at 1, n: 2, c:11
Node 313, start at 236, n: 7, c:11
Node 314, start at 568, n: 53, c:11
Node 315, start at 463, n: 2, c:11
Node 316, start at 476, n: 5, c:11
Node 317, start at 714, n: 3, c:11
Node 318, start at 835, n: 7, c:11
Node 319, start at 24, n: 5, c:11
Node 320, start at 804, n: 2, c:11
Node 321, start at 558, n: 7, c:11
Node 322, start at 94, n: 3, c:11
Node 323, start at 20, n: 3, c:11
Node 324, start at 941, n: 2, c:11
Node 325, start at 239, n: 2, c:11
Node 326, start at 167, n: 3, c:11
Node 327, start at 554, n: 2, c:11
Node 328, start at 285, n: 2, c:11
Node 329, start at 989, n: 5, c:11
Node 330, start at 158, n: 2, c:11
Node 331, start at 739, n: 2, c:11
Node 332, start at 720, n: 53, c:11
Node 333, start at 882, n: 53, c:11
Node 334, start at 438, n: 2, c:11
Node 335, start at 373, n: 2, c:11
Node 336, start at 17, n: 5, c:11
Node 337, start at 465, n: 7, c:11
Node 338, start at 312, n: 2, c:11
Node 339, start at 773, n: 7, c:11
Node 340, start at 677, n: 2, c:11
Node 341, start at 53, n: 2, c:11
Node 342, start at 595, n: 7, c:11
Node 343, start at 68, n: 2, c:11
Node 344, start at 480, n: 7, c:11
Node 345, start at 878, n: 2, c:11
Node 346, start at 959, n: 2, c:11
Node 347, start at 351, n: 53, c:11
Node 348, start at 852, n: 5, c:11
Node 349, start at 384, n: 2, c:11
Node 350, start at 232, n: 2, c:11
Node 351, start at 447, n: 2, c:11
Node 352, start at 476, n: 7, c:11
Node 353, start at 860, n: 3, c:11
Node 354, start at 821, n: 2, c:11
Node 355, start at 858, n: 53, c:11
Node 356, start at 866, n: 3, c:11
Node 357, start at 518, n: 2, c:11
Node 358, start at 527, n: 2, c:11
Node 359, start at 533, n: 53, c:11
Node 360, start at 714, n: 2, c:11
Node 361, start at 327, n: 2, c:11
Node 362, start at 324, n: 3, c:11
Node 363, start at 485, n: 3, c:11
Node 364, start at 988, n: 2, c:11
Node 365, start at 107, n: 2, c:11
Node 366, start at 35, n: 7, c:11
Node 367, start at 626, n: 2, c:11
Node 368, start at 755, n: 7, c:11
Node 369, start at 881, n: 2, c:11
Node 370, start at 423, n: 3, c:11
Node 371, start at 378, n: 2, c:11
Node 372, start at 70, n: 3, c:11
Node 373, start at 496, n: 7, c:11
Node 374, start at 225, n: 53, c:11
Node 375, start at 510, n: 7, c:11
Node 376, start at 274, n: 7, c:11
Node 377, start at 927, n: 2, c:11
Node 378, start at 509, n: 7, c:11
Node 379, start at 694, n: 53, c:11
Node 380, start at 611, n: 2, c:11
Node 381, start at 832, n: 2, c:11
Node 382, start at 354, n: 2, c:11
Node 383, start at 187, n: 2, c:11
Node 384, start at 326, n: 2, c:11
Node 385, start at 32, n: 7, c:11
Node 386, start at 559, n: 2, c:11
