Node 0, start at 131, c: 11
Node 1, start at 66, c: 11
Node 2, start at 203, c: 3
Node 3, start at 218, c: 5
Node 4, start at 301, c: 7
Node 5, start at 454, c: 3
Node 6, start at 336, c: 5
Node 7, start at 357, c: 19
Node 8, start at 430, c: 13
Node 9, start at 341, c: 11
Node 10, start at 379, c: 5
Node 11, start at 664, c: 5
Node 12, start at 959, c: 11
Node 13, start at 565, c: 7
Node 14, start at 263, c: 5
Node 15, start at 218, c: 3
Node 16, start at 213, c: 13
Node 17, start at 494, c: 13
Node 18, start at 842, c: 7
Node 19, start at 873, c: 11
Node 20, start at 195, c: 5
Node 21, start at 187, c: 5
Node 22, start at 597, c: 7
Node 23, start at 187, c: 7
Node 24, start at 60, c: 5
Node 25, start at 585, c: 7
Node 26, start at 41, c: 19
Node 27, start at 605, c: 7
Node 28, start at 805, c: 5
Node 29, start at 790, c: 5
Node 30, start at 604, c: 7
Node 31, start at 450, c: 5
Node 32, start at 415, c: 7
Node 33, start at 410, c: 5
Node 34, start at 910, c: 3
Node 35, start at 592, c: 11
Node 36, start at 381, c: 5
Node 37, start at 996, c: 13
Node 38, start at 171, c: 7
Node 39, start at 946, c: 7
Node 40, start at 629, c: 5
Node 41, start at 899, c: 5
Node 42, start at 594, c: 7
Node 43, start at 558, c: 5
Node 44, start at 103, c: 5
Node 45, start at 320, c: 7
Node 46, start at 326, c: 11
Node 47, start at 570, c: 19
Node 48, start at 341, c: 13
Node 49, start at 848, c: 11
Node 50, start at 102, c: 13
Node 51, start at 218, c: 5
Node 52, start at 9, c: 5
Node 53, start at 275, c: 5
Node 54, start at 34, c: 5
Node 55, start at 79, c: 19
Node 56, start at 256, c: 11
Node 57, start at 907, c: 11
Node 58, start at 909, c: 13
Node 59, start at 831, c: 5
Node 60, start at 495, c: 11
Node 61, start at 434, c: 3
Node 62, start at 135, c: 5
Node 63, start at 890, c: 5
Node 64, start at 747, c: 5
Node 65, start at 834, c: 19
Node 66, start at 726, c: 19
Node 67, start at 355, c: 5
Node 68, start at 634, c: 3
Node 69, start at 4, c: 11
Node 70, start at 66, c: 11
Node 71, start at 7, c: 5
Node 72, start at 806, c: 19
Node 73, start at 906, c: 3
Node 74, start at 467, c: 19
Node 75, start at 87, c: 7
Node 76, start at 217, c: 13
Node 77, start at 112, c: 7
Node 78, start at 457, c: 11
Node 79, start at 533, c: 7
Node 80, start at 347, c: 5
Node 81, start at 765, c: 5
Node 82, start at 510, c: 7
Node 83, start at 725, c: 7
Node 84, start at 537, c: 19
Node 85, start at 954, c: 7
Node 86, start at 686, c: 5
Node 87, start at 265, c: 5
Node 88, start at 791, c: 5
Node 89, start at 414, c: 19
Node 90, start at 580, c: 19
