Node 0, start at 786, c: 13
Node 1, start at 748, c: 5
Node 2, start at 613, c: 19
Node 3, start at 51, c: 5
Node 4, start at 814, c: 3
Node 5, start at 450, c: 13
Node 6, start at 280, c: 5
Node 7, start at 866, c: 13
Node 8, start at 338, c: 5
Node 9, start at 156, c: 13
Node 10, start at 364, c: 11
Node 11, start at 473, c: 11
Node 12, start at 0, c: 13
Node 13, start at 488, c: 19
Node 14, start at 759, c: 7
Node 15, start at 385, c: 3
Node 16, start at 563, c: 7
Node 17, start at 302, c: 3
Node 18, start at 939, c: 13
Node 19, start at 170, c: 7
Node 20, start at 573, c: 19
Node 21, start at 354, c: 3
Node 22, start at 220, c: 5
Node 23, start at 300, c: 11
Node 24, start at 379, c: 3
Node 25, start at 805, c: 13
Node 26, start at 812, c: 5
Node 27, start at 118, c: 5
Node 28, start at 650, c: 5
Node 29, start at 140, c: 13
Node 30, start at 245, c: 13
Node 31, start at 457, c: 19
Node 32, start at 570, c: 3
Node 33, start at 272, c: 13
Node 34, start at 960, c: 5
Node 35, start at 264, c: 5
Node 36, start at 202, c: 19
Node 37, start at 859, c: 13
Node 38, start at 789, c: 13
Node 39, start at 793, c: 11
Node 40, start at 188, c: 5
Node 41, start at 438, c: 5
Node 42, start at 196, c: 3
Node 43, start at 37, c: 13
Node 44, start at 904, c: 5
Node 45, start at 156, c: 7
Node 46, start at 474, c: 5
Node 47, start at 330, c: 7
Node 48, start at 464, c: 11
Node 49, start at 600, c: 19
Node 50, start at 961, c: 7
Node 51, start at 229, c: 5
Node 52, start at 683, c: 19
Node 53, start at 625, c: 7
Node 54, start at 413, c: 5
Node 55, start at 458, c: 7
Node 56, start at 117, c: 19
Node 57, start at 900, c: 3
Node 58, start at 798, c: 3
Node 59, start at 160, c: 7
Node 60, start at 744, c: 5
Node 61, start at 334, c: 3
Node 62, start at 272, c: 13
Node 63, start at 273, c: 5
Node 64, start at 129, c: 3
Node 65, start at 117, c: 5
Node 66, start at 149, c: 19
Node 67, start at 670, c: 5
Node 68, start at 56, c: 5
Node 69, start at 133, c: 19
Node 70, start at 529, c: 5
Node 71, start at 901, c: 7
Node 72, start at 710, c: 13
Node 73, start at 370, c: 5
Node 74, start at 832, c: 7
Node 75, start at 995, c: 11
Node 76, start at 339, c: 11
Node 77, start at 15, c: 5
Node 78, start at 108, c: 3
Node 79, start at 558, c: 5
Node 80, start at 669, c: 7
Node 81, start at 183, c: 3
Node 82, start at 348, c: 11
Node 83, start at 271, c: 5
Node 84, start at 580, c: 5
Node 85, start at 5, c: 7
Node 86, start at 114, c: 5
Node 87, start at 547, c: 13
Node 88, start at 88, c: 5
Node 89, start at 628, c: 3
Node 90, start at 481, c: 5
Node 91, start at 757, c: 5
Node 92, start at 759, c: 3
Node 93, start at 927, c: 3
Node 94, start at 80, c: 5
Node 95, start at 681, c: 3
Node 96, start at 445, c: 5
Node 97, start at 191, c: 5
Node 98, start at 342, c: 5
Node 99, start at 912, c: 19
Node 100, start at 442, c: 7
Node 101, start at 581, c: 19
Node 102, start at 521, c: 5
Node 103, start at 224, c: 5
Node 104, start at 749, c: 5
Node 105, start at 931, c: 11
Node 106, start at 301, c: 7
Node 107, start at 33, c: 13
Node 108, start at 624, c: 5
