Node 0, start at 107, c: 5
Node 1, start at 247, c: 5
Node 2, start at 808, c: 7
Node 3, start at 566, c: 3
Node 4, start at 422, c: 5
Node 5, start at 730, c: 3
Node 6, start at 56, c: 5
Node 7, start at 860, c: 7
Node 8, start at 511, c: 19
Node 9, start at 564, c: 7
Node 10, start at 681, c: 11
Node 11, start at 553, c: 3
Node 12, start at 611, c: 11
Node 13, start at 727, c: 3
Node 14, start at 197, c: 3
Node 15, start at 218, c: 11
Node 16, start at 708, c: 19
Node 17, start at 967, c: 5
Node 18, start at 59, c: 7
Node 19, start at 731, c: 13
Node 20, start at 719, c: 7
Node 21, start at 756, c: 13
Node 22, start at 58, c: 19
Node 23, start at 593, c: 5
Node 24, start at 661, c: 11
Node 25, start at 695, c: 11
Node 26, start at 801, c: 7
Node 27, start at 135, c: 11
Node 28, start at 372, c: 7
Node 29, start at 885, c: 13
Node 30, start at 708, c: 7
Node 31, start at 711, c: 11
Node 32, start at 239, c: 3
Node 33, start at 289, c: 5
Node 34, start at 966, c: 5
Node 35, start at 599, c: 19
Node 36, start at 116, c: 19
Node 37, start at 925, c: 5
Node 38, start at 166, c: 5
Node 39, start at 526, c: 7
Node 40, start at 607, c: 11
Node 41, start at 44, c: 13
Node 42, start at 415, c: 5
Node 43, start at 549, c: 5
Node 44, start at 150, c: 7
Node 45, start at 781, c: 11
Node 46, start at 909, c: 7
Node 47, start at 1, c: 3
Node 48, start at 843, c: 13
Node 49, start at 570, c: 19
Node 50, start at 928, c: 7
Node 51, start at 592, c: 3
Node 52, start at 896, c: 7
Node 53, start at 934, c: 13
Node 54, start at 301, c: 5
Node 55, start at 732, c: 7
Node 56, start at 279, c: 7
Node 57, start at 118, c: 19
Node 58, start at 884, c: 3
Node 59, start at 646, c: 7
Node 60, start at 990, c: 11
Node 61, start at 697, c: 3
Node 62, start at 808, c: 13
Node 63, start at 661, c: 11
Node 64, start at 841, c: 7
Node 65, start at 833, c: 5
Node 66, start at 594, c: 5
Node 67, start at 21, c: 7
Node 68, start at 583, c: 13
Node 69, start at 979, c: 13
Node 70, start at 502, c: 5
Node 71, start at 623, c: 7
Node 72, start at 986, c: 5
Node 73, start at 652, c: 11
Node 74, start at 785, c: 3
Node 75, start at 275, c: 7
Node 76, start at 714, c: 5
Node 77, start at 590, c: 7
Node 78, start at 446, c: 13
Node 79, start at 214, c: 19
