Node 0, start at 733, n: 5, c:5
Node 1, start at 31, n: 13, c:13
Node 2, start at 477, n: 3, c:3
Node 3, start at 888, n: 11, c:11
Node 4, start at 593, n: 3, c:3
Node 5, start at 135, n: 3, c:3
Node 6, start at 823, n: 3, c:3
Node 7, start at 623, n: 5, c:5
Node 8, start at 334, n: 3, c:3
Node 9, start at 573, n: 5, c:5
Node 10, start at 131, n: 5, c:5
Node 11, start at 196, n: 5, c:5
Node 12, start at 393, n: 11, c:11
Node 13, start at 691, n: 3, c:3
Node 14, start at 854, n: 3, c:3
Node 15, start at 832, n: 3, c:3
Node 16, start at 863, n: 11, c:11
Node 17, start at 256, n: 3, c:3
Node 18, start at 719, n: 7, c:7
Node 19, start at 76, n: 5, c:5
Node 20, start at 669, n: 5, c:5
Node 21, start at 627, n: 11, c:11
Node 22, start at 514, n: 5, c:5
Node 23, start at 631, n: 11, c:11
Node 24, start at 630, n: 5, c:5
Node 25, start at 243, n: 5, c:5
Node 26, start at 959, n: 3, c:3
Node 27, start at 485, n: 3, c:3
Node 28, start at 628, n: 7, c:7
Node 29, start at 546, n: 3, c:3
Node 30, start at 725, n: 11, c:11
Node 31, start at 860, n: 7, c:7
Node 32, start at 409, n: 7, c:7
Node 33, start at 712, n: 5, c:5
Node 34, start at 538, n: 7, c:7
Node 35, start at 212, n: 7, c:7
Node 36, start at 853, n: 5, c:5
Node 37, start at 360, n: 3, c:3
Node 38, start at 901, n: 13, c:13
Node 39, start at 921, n: 5, c:5
Node 40, start at 516, n: 3, c:3
Node 41, start at 482, n: 11, c:11
Node 42, start at 847, n: 3, c:3
Node 43, start at 335, n: 3, c:3
Node 44, start at 814, n: 3, c:3
Node 45, start at 893, n: 5, c:5
Node 46, start at 739, n: 3, c:3
Node 47, start at 747, n: 7, c:7
Node 48, start at 256, n: 3, c:3
Node 49, start at 325, n: 3, c:3
Node 50, start at 822, n: 5, c:5
Node 51, start at 543, n: 3, c:3
Node 52, start at 573, n: 5, c:5
Node 53, start at 494, n: 5, c:5
Node 54, start at 246, n: 7, c:7
Node 55, start at 445, n: 5, c:5
Node 56, start at 609, n: 3, c:3
Node 57, start at 891, n: 11, c:11
Node 58, start at 448, n: 11, c:11
Node 59, start at 607, n: 3, c:3
Node 60, start at 353, n: 13, c:13
Node 61, start at 115, n: 3, c:3
Node 62, start at 927, n: 3, c:3
Node 63, start at 609, n: 13, c:13
Node 64, start at 802, n: 3, c:3
Node 65, start at 156, n: 13, c:13
Node 66, start at 426, n: 11, c:11
Node 67, start at 78, n: 5, c:5
Node 68, start at 962, n: 11, c:11
Node 69, start at 350, n: 5, c:5
Node 70, start at 84, n: 3, c:3
Node 71, start at 611, n: 11, c:11
Node 72, start at 59, n: 5, c:5
Node 73, start at 151, n: 3, c:3
Node 74, start at 374, n: 5, c:5
Node 75, start at 190, n: 13, c:13
Node 76, start at 577, n: 5, c:5
Node 77, start at 275, n: 3, c:3
Node 78, start at 740, n: 3, c:3
Node 79, start at 90, n: 13, c:13
Node 80, start at 165, n: 5, c:5
Node 81, start at 585, n: 5, c:5
Node 82, start at 51, n: 5, c:5
Node 83, start at 152, n: 3, c:3
Node 84, start at 212, n: 3, c:3
Node 85, start at 878, n: 3, c:3
Node 86, start at 232, n: 5, c:5
Node 87, start at 622, n: 7, c:7
Node 88, start at 734, n: 5, c:5
Node 89, start at 473, n: 3, c:3
Node 90, start at 639, n: 5, c:5
Node 91, start at 121, n: 5, c:5
Node 92, start at 678, n: 7, c:7
Node 93, start at 249, n: 3, c:3
Node 94, start at 326, n: 3, c:3
Node 95, start at 316, n: 5, c:5
Node 96, start at 945, n: 5, c:5
Node 97, start at 975, n: 11, c:11
Node 98, start at 475, n: 11, c:11
Node 99, start at 73, n: 5, c:5
Node 100, start at 313, n: 7, c:7
Node 101, start at 250, n: 3, c:3
Node 102, start at 757, n: 11, c:11
Node 103, start at 25, n: 3, c:3
Node 104, start at 618, n: 3, c:3
Node 105, start at 589, n: 5, c:5
Node 106, start at 936, n: 3, c:3
Node 107, start at 54, n: 5, c:5
Node 108, start at 864, n: 3, c:3
Node 109, start at 66, n: 11, c:11
Node 110, start at 721, n: 5, c:5
Node 111, start at 684, n: 5, c:5
Node 112, start at 581, n: 5, c:5
Node 113, start at 332, n: 5, c:5
Node 114, start at 228, n: 11, c:11
Node 115, start at 317, n: 11, c:11
Node 116, start at 314, n: 3, c:3
Node 117, start at 453, n: 5, c:5
Node 118, start at 719, n: 3, c:3
Node 119, start at 497, n: 5, c:5
Node 120, start at 257, n: 5, c:5
Node 121, start at 525, n: 3, c:3
Node 122, start at 137, n: 11, c:11
Node 123, start at 688, n: 7, c:7
Node 124, start at 548, n: 3, c:3
Node 125, start at 433, n: 3, c:3
Node 126, start at 753, n: 11, c:11
Node 127, start at 556, n: 7, c:7
Node 128, start at 922, n: 5, c:5
Node 129, start at 818, n: 5, c:5
Node 130, start at 910, n: 11, c:11
Node 131, start at 513, n: 13, c:13
Node 132, start at 182, n: 5, c:5
Node 133, start at 324, n: 11, c:11
Node 134, start at 156, n: 13, c:13
Node 135, start at 956, n: 3, c:3
Node 136, start at 680, n: 5, c:5
Node 137, start at 395, n: 5, c:5
Node 138, start at 968, n: 3, c:3
Node 139, start at 114, n: 11, c:11
Node 140, start at 240, n: 5, c:5
Node 141, start at 665, n: 3, c:3
Node 142, start at 69, n: 3, c:3
Node 143, start at 761, n: 5, c:5
Node 144, start at 195, n: 5, c:5
Node 145, start at 577, n: 5, c:5
Node 146, start at 771, n: 5, c:5
Node 147, start at 364, n: 3, c:3
Node 148, start at 685, n: 5, c:5
Node 149, start at 915, n: 5, c:5
Node 150, start at 916, n: 5, c:5
Node 151, start at 280, n: 13, c:13
Node 152, start at 657, n: 3, c:3
Node 153, start at 274, n: 3, c:3
Node 154, start at 822, n: 7, c:7
Node 155, start at 575, n: 5, c:5
Node 156, start at 348, n: 3, c:3
Node 157, start at 286, n: 3, c:3
Node 158, start at 0, n: 5, c:5
Node 159, start at 69, n: 3, c:3
Node 160, start at 881, n: 11, c:11
Node 161, start at 918, n: 3, c:3
Node 162, start at 749, n: 5, c:5
Node 163, start at 2, n: 5, c:5
Node 164, start at 572, n: 13, c:13
Node 165, start at 800, n: 3, c:3
Node 166, start at 17, n: 3, c:3
Node 167, start at 765, n: 5, c:5
Node 168, start at 484, n: 5, c:5
Node 169, start at 29, n: 3, c:3
Node 170, start at 199, n: 5, c:5
Node 171, start at 370, n: 5, c:5
Node 172, start at 706, n: 3, c:3
Node 173, start at 855, n: 3, c:3
Node 174, start at 630, n: 3, c:3
Node 175, start at 668, n: 3, c:3
Node 176, start at 682, n: 3, c:3
Node 177, start at 289, n: 3, c:3
Node 178, start at 38, n: 3, c:3
Node 179, start at 484, n: 3, c:3
Node 180, start at 165, n: 11, c:11
