Node 0, start at 329, n: 7, c:7
Node 1, start at 26, n: 11, c:11
Node 2, start at 624, n: 5, c:5
Node 3, start at 946, n: 3, c:3
Node 4, start at 511, n: 5, c:5
Node 5, start at 734, n: 3, c:3
Node 6, start at 951, n: 3, c:3
Node 7, start at 858, n: 3, c:3
Node 8, start at 44, n: 7, c:7
Node 9, start at 253, n: 3, c:3
Node 10, start at 124, n: 13, c:13
Node 11, start at 74, n: 11, c:11
Node 12, start at 942, n: 7, c:7
Node 13, start at 713, n: 5, c:5
Node 14, start at 289, n: 3, c:3
Node 15, start at 902, n: 7, c:7
Node 16, start at 618, n: 5, c:5
Node 17, start at 176, n: 11, c:11
Node 18, start at 0, n: 13, c:13
Node 19, start at 779, n: 3, c:3
Node 20, start at 920, n: 11, c:11
Node 21, start at 192, n: 11, c:11
Node 22, start at 710, n: 5, c:5
Node 23, start at 914, n: 5, c:5
Node 24, start at 633, n: 5, c:5
Node 25, start at 645, n: 3, c:3
Node 26, start at 55, n: 3, c:3
Node 27, start at 553, n: 3, c:3
Node 28, start at 852, n: 3, c:3
Node 29, start at 285, n: 13, c:13
Node 30, start at 546, n: 3, c:3
Node 31, start at 325, n: 13, c:13
Node 32, start at 185, n: 5, c:5
Node 33, start at 993, n: 13, c:13
Node 34, start at 809, n: 3, c:3
Node 35, start at 479, n: 5, c:5
Node 36, start at 905, n: 13, c:13
Node 37, start at 857, n: 11, c:11
Node 38, start at 643, n: 7, c:7
Node 39, start at 404, n: 7, c:7
Node 40, start at 385, n: 3, c:3
Node 41, start at 713, n: 3, c:3
Node 42, start at 683, n: 5, c:5
Node 43, start at 642, n: 11, c:11
Node 44, start at 486, n: 3, c:3
Node 45, start at 665, n: 5, c:5
Node 46, start at 544, n: 5, c:5
Node 47, start at 289, n: 5, c:5
Node 48, start at 727, n: 3, c:3
Node 49, start at 752, n: 5, c:5
Node 50, start at 991, n: 5, c:5
Node 51, start at 10, n: 3, c:3
Node 52, start at 162, n: 3, c:3
Node 53, start at 47, n: 13, c:13
Node 54, start at 711, n: 3, c:3
Node 55, start at 442, n: 3, c:3
Node 56, start at 242, n: 5, c:5
Node 57, start at 648, n: 3, c:3
Node 58, start at 172, n: 3, c:3
Node 59, start at 11, n: 3, c:3
Node 60, start at 955, n: 3, c:3
Node 61, start at 622, n: 7, c:7
Node 62, start at 684, n: 3, c:3
Node 63, start at 727, n: 3, c:3
Node 64, start at 797, n: 3, c:3
Node 65, start at 612, n: 5, c:5
Node 66, start at 627, n: 3, c:3
Node 67, start at 11, n: 3, c:3
Node 68, start at 684, n: 5, c:5
Node 69, start at 86, n: 3, c:3
Node 70, start at 522, n: 13, c:13
Node 71, start at 732, n: 7, c:7
Node 72, start at 614, n: 3, c:3
Node 73, start at 23, n: 3, c:3
Node 74, start at 236, n: 13, c:13
Node 75, start at 833, n: 5, c:5
Node 76, start at 744, n: 7, c:7
Node 77, start at 192, n: 5, c:5
Node 78, start at 876, n: 3, c:3
Node 79, start at 824, n: 5, c:5
Node 80, start at 430, n: 7, c:7
Node 81, start at 990, n: 5, c:5
Node 82, start at 860, n: 7, c:7
Node 83, start at 704, n: 3, c:3
Node 84, start at 628, n: 5, c:5
Node 85, start at 245, n: 13, c:13
Node 86, start at 129, n: 5, c:5
Node 87, start at 745, n: 3, c:3
Node 88, start at 798, n: 13, c:13
Node 89, start at 556, n: 5, c:5
Node 90, start at 24, n: 3, c:3
Node 91, start at 622, n: 5, c:5
Node 92, start at 792, n: 5, c:5
Node 93, start at 397, n: 11, c:11
Node 94, start at 168, n: 3, c:3
Node 95, start at 575, n: 7, c:7
Node 96, start at 62, n: 7, c:7
Node 97, start at 657, n: 11, c:11
Node 98, start at 487, n: 3, c:3
Node 99, start at 974, n: 11, c:11
Node 100, start at 798, n: 5, c:5
Node 101, start at 482, n: 5, c:5
Node 102, start at 51, n: 13, c:13
Node 103, start at 900, n: 5, c:5
Node 104, start at 504, n: 5, c:5
Node 105, start at 468, n: 7, c:7
Node 106, start at 342, n: 3, c:3
Node 107, start at 288, n: 5, c:5
Node 108, start at 683, n: 13, c:13
Node 109, start at 739, n: 5, c:5
Node 110, start at 414, n: 3, c:3
Node 111, start at 786, n: 3, c:3
Node 112, start at 329, n: 5, c:5
Node 113, start at 749, n: 5, c:5
Node 114, start at 997, n: 5, c:5
Node 115, start at 68, n: 13, c:13
Node 116, start at 578, n: 3, c:3
Node 117, start at 556, n: 11, c:11
Node 118, start at 557, n: 7, c:7
Node 119, start at 385, n: 11, c:11
Node 120, start at 4, n: 3, c:3
Node 121, start at 208, n: 13, c:13
Node 122, start at 907, n: 11, c:11
Node 123, start at 566, n: 5, c:5
Node 124, start at 722, n: 5, c:5
Node 125, start at 893, n: 7, c:7
Node 126, start at 609, n: 5, c:5
Node 127, start at 989, n: 3, c:3
Node 128, start at 30, n: 11, c:11
Node 129, start at 308, n: 3, c:3
Node 130, start at 287, n: 3, c:3
Node 131, start at 930, n: 7, c:7
Node 132, start at 150, n: 5, c:5
Node 133, start at 923, n: 13, c:13
Node 134, start at 607, n: 3, c:3
Node 135, start at 541, n: 11, c:11
Node 136, start at 588, n: 5, c:5
Node 137, start at 371, n: 5, c:5
Node 138, start at 632, n: 11, c:11
Node 139, start at 500, n: 5, c:5
Node 140, start at 245, n: 3, c:3
Node 141, start at 219, n: 3, c:3
Node 142, start at 611, n: 7, c:7
Node 143, start at 595, n: 5, c:5
Node 144, start at 863, n: 3, c:3
Node 145, start at 233, n: 3, c:3
