Node 0, start at 428, n: 11, c:11
Node 1, start at 562, n: 7, c:7
Node 2, start at 463, n: 5, c:5
Node 3, start at 53, n: 5, c:5
Node 4, start at 593, n: 3, c:3
Node 5, start at 287, n: 5, c:5
Node 6, start at 27, n: 5, c:5
Node 7, start at 354, n: 13, c:13
Node 8, start at 553, n: 5, c:5
Node 9, start at 293, n: 3, c:3
Node 10, start at 595, n: 3, c:3
Node 11, start at 603, n: 5, c:5
Node 12, start at 278, n: 3, c:3
Node 13, start at 142, n: 13, c:13
Node 14, start at 373, n: 3, c:3
Node 15, start at 600, n: 3, c:3
Node 16, start at 897, n: 7, c:7
Node 17, start at 99, n: 5, c:5
Node 18, start at 693, n: 5, c:5
Node 19, start at 828, n: 3, c:3
Node 20, start at 363, n: 7, c:7
Node 21, start at 770, n: 13, c:13
Node 22, start at 651, n: 5, c:5
Node 23, start at 511, n: 7, c:7
Node 24, start at 835, n: 3, c:3
Node 25, start at 42, n: 5, c:5
Node 26, start at 395, n: 5, c:5
Node 27, start at 331, n: 5, c:5
Node 28, start at 60, n: 5, c:5
Node 29, start at 759, n: 3, c:3
Node 30, start at 674, n: 5, c:5
Node 31, start at 195, n: 3, c:3
Node 32, start at 565, n: 5, c:5
Node 33, start at 871, n: 13, c:13
Node 34, start at 322, n: 7, c:7
Node 35, start at 654, n: 5, c:5
Node 36, start at 886, n: 3, c:3
Node 37, start at 13, n: 11, c:11
Node 38, start at 644, n: 5, c:5
Node 39, start at 608, n: 5, c:5
Node 40, start at 794, n: 5, c:5
Node 41, start at 491, n: 3, c:3
Node 42, start at 15, n: 3, c:3
Node 43, start at 372, n: 7, c:7
Node 44, start at 953, n: 5, c:5
Node 45, start at 346, n: 7, c:7
Node 46, start at 501, n: 13, c:13
Node 47, start at 510, n: 5, c:5
Node 48, start at 286, n: 3, c:3
Node 49, start at 393, n: 3, c:3
Node 50, start at 213, n: 5, c:5
Node 51, start at 151, n: 5, c:5
Node 52, start at 908, n: 3, c:3
Node 53, start at 914, n: 5, c:5
Node 54, start at 149, n: 5, c:5
Node 55, start at 598, n: 3, c:3
Node 56, start at 3, n: 3, c:3
Node 57, start at 727, n: 3, c:3
Node 58, start at 278, n: 3, c:3
Node 59, start at 171, n: 3, c:3
Node 60, start at 14, n: 7, c:7
Node 61, start at 609, n: 3, c:3
Node 62, start at 858, n: 11, c:11
Node 63, start at 45, n: 11, c:11
Node 64, start at 449, n: 13, c:13
Node 65, start at 841, n: 5, c:5
Node 66, start at 271, n: 5, c:5
Node 67, start at 837, n: 3, c:3
Node 68, start at 659, n: 3, c:3
Node 69, start at 640, n: 5, c:5
Node 70, start at 363, n: 11, c:11
Node 71, start at 580, n: 5, c:5
Node 72, start at 811, n: 3, c:3
Node 73, start at 671, n: 3, c:3
Node 74, start at 717, n: 5, c:5
Node 75, start at 375, n: 3, c:3
Node 76, start at 589, n: 5, c:5
Node 77, start at 755, n: 3, c:3
Node 78, start at 908, n: 5, c:5
Node 79, start at 800, n: 5, c:5
Node 80, start at 785, n: 5, c:5
Node 81, start at 417, n: 3, c:3
Node 82, start at 944, n: 5, c:5
Node 83, start at 827, n: 3, c:3
Node 84, start at 105, n: 3, c:3
Node 85, start at 500, n: 5, c:5
Node 86, start at 877, n: 3, c:3
Node 87, start at 697, n: 3, c:3
Node 88, start at 201, n: 5, c:5
Node 89, start at 411, n: 3, c:3
Node 90, start at 567, n: 3, c:3
Node 91, start at 671, n: 5, c:5
Node 92, start at 509, n: 5, c:5
Node 93, start at 651, n: 3, c:3
Node 94, start at 948, n: 5, c:5
Node 95, start at 484, n: 13, c:13
Node 96, start at 178, n: 3, c:3
Node 97, start at 229, n: 5, c:5
Node 98, start at 635, n: 5, c:5
Node 99, start at 781, n: 7, c:7
Node 100, start at 590, n: 3, c:3
Node 101, start at 471, n: 3, c:3
Node 102, start at 477, n: 7, c:7
Node 103, start at 673, n: 11, c:11
Node 104, start at 152, n: 7, c:7
Node 105, start at 526, n: 13, c:13
Node 106, start at 829, n: 3, c:3
Node 107, start at 503, n: 5, c:5
Node 108, start at 95, n: 3, c:3
Node 109, start at 743, n: 5, c:5
Node 110, start at 975, n: 7, c:7
Node 111, start at 515, n: 5, c:5
Node 112, start at 985, n: 13, c:13
Node 113, start at 842, n: 5, c:5
