Node 0, start at 335, anchor: 7
Node 1, start at 892, anchor: 11
Node 2, start at 562, anchor: 5
Node 3, start at 929, anchor: 7
Node 4, start at 934, anchor: 11
Node 5, start at 275, anchor: 5
Node 6, start at 633, anchor: 19
Node 7, start at 897, anchor: 5
Node 8, start at 558, anchor: 13
Node 9, start at 404, anchor: 5
Node 10, start at 752, anchor: 11
Node 11, start at 588, anchor: 3
Node 12, start at 842, anchor: 5
Node 13, start at 371, anchor: 5
Node 14, start at 118, anchor: 11
Node 15, start at 672, anchor: 5
Node 16, start at 426, anchor: 5
Node 17, start at 658, anchor: 3
Node 18, start at 481, anchor: 7
Node 19, start at 739, anchor: 5
Node 20, start at 890, anchor: 11
Node 0, start at 335, anchor: 7
Node 1, start at 892, anchor: 7
Node 2, start at 562, anchor: 7
Node 3, start at 929, anchor: 7
Node 4, start at 934, anchor: 7
Node 5, start at 275, anchor: 7
Node 6, start at 633, anchor: 7
Node 7, start at 897, anchor: 7
Node 8, start at 558, anchor: 7
Node 9, start at 404, anchor: 7
Node 10, start at 752, anchor: 7
Node 11, start at 588, anchor: 7
Node 12, start at 842, anchor: 7
Node 13, start at 371, anchor: 7
Node 14, start at 118, anchor: 7
Node 15, start at 672, anchor: 7
Node 16, start at 426, anchor: 7
Node 17, start at 658, anchor: 7
Node 18, start at 481, anchor: 7
Node 19, start at 739, anchor: 7
Node 20, start at 890, anchor: 7
Node 0, start at 352, anchor: 13
Node 1, start at 678, anchor: 3
Node 2, start at 832, anchor: 7
Node 3, start at 572, anchor: 19
Node 4, start at 949, anchor: 5
Node 5, start at 825, anchor: 19
Node 6, start at 104, anchor: 7
Node 7, start at 75, anchor: 5
Node 8, start at 673, anchor: 7
Node 9, start at 672, anchor: 3
Node 10, start at 609, anchor: 7
Node 11, start at 510, anchor: 7
Node 12, start at 904, anchor: 19
Node 13, start at 980, anchor: 5
Node 14, start at 110, anchor: 5
Node 15, start at 461, anchor: 3
Node 16, start at 919, anchor: 5
Node 17, start at 450, anchor: 7
Node 18, start at 990, anchor: 7
Node 19, start at 503, anchor: 7
Node 20, start at 655, anchor: 5
Node 0, start at 352, anchor: 7
Node 1, start at 678, anchor: 7
Node 2, start at 832, anchor: 7
Node 3, start at 572, anchor: 7
Node 4, start at 949, anchor: 7
Node 5, start at 825, anchor: 7
Node 6, start at 104, anchor: 7
Node 7, start at 75, anchor: 7
Node 8, start at 673, anchor: 7
Node 9, start at 672, anchor: 7
