Node 0, start at 724, n: 2, c:11
Node 1, start at 895, n: 53, c:11
Node 2, start at 362, n: 5, c:11
Node 3, start at 267, n: 2, c:11
Node 4, start at 767, n: 53, c:11
Node 5, start at 482, n: 5, c:11
Node 6, start at 682, n: 2, c:11
Node 7, start at 401, n: 2, c:11
Node 8, start at 932, n: 53, c:11
Node 9, start at 647, n: 2, c:11
Node 10, start at 366, n: 2, c:11
Node 11, start at 93, n: 2, c:11
Node 12, start at 490, n: 2, c:11
Node 13, start at 151, n: 2, c:11
Node 14, start at 72, n: 7, c:11
Node 15, start at 498, n: 7, c:11
Node 16, start at 271, n: 2, c:11
Node 17, start at 279, n: 2, c:11
Node 18, start at 636, n: 7, c:11
Node 19, start at 27, n: 2, c:11
Node 20, start at 218, n: 5, c:11
Node 0, start at 724, n: 2, c:11
Node 1, start at 895, n: 2, c:11
Node 2, start at 362, n: 2, c:11
Node 3, start at 267, n: 2, c:11
Node 4, start at 767, n: 2, c:11
Node 5, start at 482, n: 2, c:11
Node 6, start at 682, n: 2, c:11
Node 7, start at 401, n: 2, c:11
Node 8, start at 932, n: 2, c:11
Node 9, start at 647, n: 2, c:11
Node 10, start at 366, n: 2, c:11
Node 11, start at 93, n: 2, c:11
Node 12, start at 490, n: 2, c:11
Node 13, start at 151, n: 2, c:11
Node 14, start at 72, n: 2, c:11
Node 15, start at 498, n: 2, c:11
Node 16, start at 271, n: 2, c:11
Node 17, start at 279, n: 2, c:11
Node 18, start at 636, n: 2, c:11
Node 19, start at 27, n: 2, c:11
Node 20, start at 218, n: 2, c:11
Node 0, start at 948, n: 7, c:11
Node 1, start at 234, n: 2, c:11
Node 2, start at 58, n: 2, c:11
Node 3, start at 29, n: 2, c:11
Node 4, start at 741, n: 2, c:11
Node 5, start at 435, n: 53, c:11
Node 6, start at 538, n: 2, c:11
Node 7, start at 198, n: 3, c:11
Node 8, start at 207, n: 2, c:11
Node 9, start at 135, n: 2, c:11
Node 10, start at 295, n: 2, c:11
Node 11, start at 853, n: 2, c:11
Node 12, start at 382, n: 7, c:11
Node 13, start at 938, n: 2, c:11
Node 14, start at 574, n: 2, c:11
Node 15, start at 922, n: 2, c:11
Node 16, start at 934, n: 2, c:11
Node 17, start at 538, n: 5, c:11
Node 18, start at 950, n: 2, c:11
Node 19, start at 660, n: 53, c:11
Node 20, start at 357, n: 3, c:11
Node 0, start at 948, n: 2, c:11
Node 1, start at 234, n: 2, c:11
Node 2, start at 58, n: 2, c:11
Node 3, start at 29, n: 2, c:11
Node 4, start at 741, n: 2, c:11
Node 5, start at 435, n: 2, c:11
Node 6, start at 538, n: 2, c:11
Node 7, start at 198, n: 2, c:11
Node 8, start at 207, n: 2, c:11
Node 9, start at 135, n: 2, c:11
Node 10, start at 295, n: 2, c:11
Node 11, start at 853, n: 2, c:11
Node 12, start at 382, n: 2, c:11
Node 13, start at 938, n: 2, c:11
Node 14, start at 574, n: 2, c:11
Node 15, start at 922, n: 2, c:11
Node 16, start at 934, n: 2, c:11
Node 17, start at 538, n: 2, c:11
Node 18, start at 950, n: 2, c:11
Node 19, start at 660, n: 2, c:11
Node 20, start at 357, n: 2, c:11
Node 0, start at 508, n: 2, c:11
Node 1, start at 865, n: 5, c:11
Node 2, start at 246, n: 3, c:11
Node 3, start at 822, n: 3, c:11
Node 4, start at 155, n: 2, c:11
Node 5, start at 825, n: 2, c:11
Node 6, start at 124, n: 2, c:11
Node 7, start at 302, n: 3, c:11
Node 8, start at 277, n: 2, c:11
Node 9, start at 18, n: 2, c:11
Node 10, start at 734, n: 2, c:11
Node 11, start at 53, n: 53, c:11
Node 12, start at 415, n: 2, c:11
Node 13, start at 690, n: 2, c:11
Node 14, start at 48, n: 3, c:11
Node 15, start at 424, n: 5, c:11
Node 16, start at 354, n: 2, c:11
Node 17, start at 568, n: 3, c:11
Node 18, start at 247, n: 53, c:11
Node 19, start at 326, n: 2, c:11
Node 20, start at 522, n: 2, c:11
Node 0, start at 508, n: 2, c:11
Node 1, start at 865, n: 2, c:11
Node 2, start at 246, n: 2, c:11
Node 3, start at 822, n: 2, c:11
Node 4, start at 155, n: 2, c:11
Node 5, start at 825, n: 2, c:11
Node 6, start at 124, n: 2, c:11
Node 7, start at 302, n: 2, c:11
Node 8, start at 277, n: 2, c:11
Node 9, start at 18, n: 2, c:11
Node 10, start at 734, n: 2, c:11
Node 11, start at 53, n: 2, c:11
Node 12, start at 415, n: 2, c:11
Node 13, start at 690, n: 2, c:11
Node 14, start at 48, n: 2, c:11
Node 15, start at 424, n: 2, c:11
Node 16, start at 354, n: 2, c:11
Node 17, start at 568, n: 2, c:11
Node 18, start at 247, n: 2, c:11
Node 19, start at 326, n: 2, c:11
Node 20, start at 522, n: 2, c:11
Node 0, start at 329, n: 2, c:11
Node 1, start at 241, n: 2, c:11
Node 2, start at 900, n: 3, c:11
Node 3, start at 778, n: 2, c:11
Node 4, start at 365, n: 53, c:11
Node 5, start at 672, n: 7, c:11
Node 6, start at 98, n: 3, c:11
Node 7, start at 810, n: 2, c:11
Node 8, start at 770, n: 2, c:11
Node 9, start at 245, n: 2, c:11
Node 10, start at 459, n: 5, c:11
Node 11, start at 418, n: 3, c:11
Node 12, start at 385, n: 53, c:11
Node 13, start at 74, n: 2, c:11
Node 14, start at 140, n: 2, c:11
Node 15, start at 875, n: 3, c:11
Node 16, start at 817, n: 2, c:11
Node 17, start at 357, n: 53, c:11
Node 18, start at 70, n: 7, c:11
Node 19, start at 134, n: 3, c:11
Node 20, start at 575, n: 2, c:11
Node 0, start at 329, n: 2, c:11
Node 1, start at 241, n: 2, c:11
Node 2, start at 900, n: 2, c:11
Node 3, start at 778, n: 2, c:11
Node 4, start at 365, n: 2, c:11
Node 5, start at 672, n: 2, c:11
Node 6, start at 98, n: 2, c:11
Node 7, start at 810, n: 2, c:11
Node 8, start at 770, n: 2, c:11
Node 9, start at 245, n: 2, c:11
Node 10, start at 459, n: 2, c:11
Node 11, start at 418, n: 2, c:11
Node 12, start at 385, n: 2, c:11
Node 13, start at 74, n: 2, c:11
Node 14, start at 140, n: 2, c:11
Node 15, start at 875, n: 2, c:11
Node 16, start at 817, n: 2, c:11
Node 17, start at 357, n: 2, c:11
Node 18, start at 70, n: 2, c:11
Node 19, start at 134, n: 2, c:11
Node 20, start at 575, n: 2, c:11
Node 0, start at 888, n: 5, c:11
Node 1, start at 3, n: 7, c:11
Node 2, start at 653, n: 2, c:11
Node 3, start at 272, n: 2, c:11
Node 4, start at 975, n: 2, c:11
Node 5, start at 410, n: 7, c:11
Node 6, start at 688, n: 2, c:11
Node 7, start at 397, n: 2, c:11
Node 8, start at 181, n: 2, c:11
Node 9, start at 93, n: 2, c:11
Node 10, start at 417, n: 3, c:11
Node 11, start at 332, n: 2, c:11
Node 12, start at 8, n: 53, c:11
Node 13, start at 798, n: 2, c:11
Node 14, start at 896, n: 2, c:11
Node 15, start at 623, n: 2, c:11
Node 16, start at 806, n: 2, c:11
Node 17, start at 710, n: 7, c:11
Node 18, start at 439, n: 7, c:11
Node 19, start at 726, n: 7, c:11
Node 20, start at 589, n: 2, c:11
Node 0, start at 888, n: 2, c:11
Node 1, start at 3, n: 2, c:11
Node 2, start at 653, n: 2, c:11
Node 3, start at 272, n: 2, c:11
Node 4, start at 975, n: 2, c:11
Node 5, start at 410, n: 2, c:11
Node 6, start at 688, n: 2, c:11
Node 7, start at 397, n: 2, c:11
Node 8, start at 181, n: 2, c:11
Node 9, start at 93, n: 2, c:11
Node 10, start at 417, n: 2, c:11
Node 11, start at 332, n: 2, c:11
Node 12, start at 8, n: 2, c:11
Node 13, start at 798, n: 2, c:11
Node 14, start at 896, n: 2, c:11
Node 15, start at 623, n: 2, c:11
Node 16, start at 806, n: 2, c:11
Node 17, start at 710, n: 2, c:11
Node 18, start at 439, n: 2, c:11
Node 19, start at 726, n: 2, c:11
Node 20, start at 589, n: 2, c:11
Node 0, start at 651, n: 2, c:11
Node 1, start at 405, n: 2, c:11
Node 2, start at 40, n: 3, c:11
Node 3, start at 860, n: 2, c:11
Node 4, start at 585, n: 5, c:11
Node 5, start at 781, n: 2, c:11
Node 6, start at 121, n: 2, c:11
Node 7, start at 282, n: 53, c:11
Node 8, start at 283, n: 3, c:11
Node 9, start at 603, n: 2, c:11
Node 10, start at 853, n: 5, c:11
Node 11, start at 488, n: 2, c:11
Node 12, start at 88, n: 53, c:11
Node 13, start at 725, n: 53, c:11
Node 14, start at 355, n: 7, c:11
Node 15, start at 245, n: 2, c:11
Node 16, start at 484, n: 2, c:11
Node 17, start at 846, n: 2, c:11
Node 18, start at 59, n: 2, c:11
Node 19, start at 465, n: 2, c:11
Node 20, start at 964, n: 2, c:11
Node 0, start at 651, n: 2, c:11
Node 1, start at 405, n: 2, c:11
Node 2, start at 40, n: 2, c:11
Node 3, start at 860, n: 2, c:11
Node 4, start at 585, n: 2, c:11
Node 5, start at 781, n: 2, c:11
Node 6, start at 121, n: 2, c:11
Node 7, start at 282, n: 2, c:11
Node 8, start at 283, n: 2, c:11
Node 9, start at 603, n: 2, c:11
Node 10, start at 853, n: 2, c:11
Node 11, start at 488, n: 2, c:11
Node 12, start at 88, n: 2, c:11
Node 13, start at 725, n: 2, c:11
Node 14, start at 355, n: 2, c:11
Node 15, start at 245, n: 2, c:11
Node 16, start at 484, n: 2, c:11
Node 17, start at 846, n: 2, c:11
Node 18, start at 59, n: 2, c:11
Node 19, start at 465, n: 2, c:11
