Node 0, start at 296, k: 3
Node 1, start at 605, k: 5
Node 2, start at 584, k: 3
Node 3, start at 962, k: 5
Node 4, start at 202, k: 11
Node 5, start at 1000, k: 19
Node 6, start at 469, k: 7
Node 7, start at 474, k: 11
Node 8, start at 68, k: 19
Node 9, start at 48, k: 7
Node 10, start at 12, k: 5
Node 11, start at 531, k: 3
Node 12, start at 696, k: 3
Node 13, start at 259, k: 5
Node 14, start at 753, k: 7
Node 15, start at 780, k: 3
Node 16, start at 440, k: 3
Node 17, start at 750, k: 19
Node 18, start at 227, k: 3
Node 19, start at 12, k: 5
Node 20, start at 630, k: 7
Node 0, start at 296, k: 5
Node 1, start at 605, k: 5
Node 2, start at 584, k: 5
Node 3, start at 962, k: 5
Node 4, start at 202, k: 5
Node 5, start at 1000, k: 5
Node 6, start at 469, k: 5
Node 7, start at 474, k: 5
Node 8, start at 68, k: 5
Node 9, start at 48, k: 5
Node 10, start at 12, k: 5
Node 11, start at 531, k: 5
Node 12, start at 696, k: 5
Node 13, start at 259, k: 5
Node 14, start at 753, k: 5
Node 15, start at 780, k: 5
Node 16, start at 440, k: 5
Node 17, start at 750, k: 5
Node 18, start at 227, k: 5
Node 19, start at 12, k: 5
Node 20, start at 630, k: 5
Node 0, start at 391, k: 3
Node 1, start at 952, k: 19
Node 2, start at 438, k: 5
Node 3, start at 640, k: 11
Node 4, start at 660, k: 5
Node 5, start at 36, k: 5
Node 6, start at 796, k: 11
Node 7, start at 716, k: 7
Node 8, start at 983, k: 5
Node 9, start at 741, k: 7
Node 10, start at 558, k: 11
Node 11, start at 400, k: 3
Node 12, start at 379, k: 7
Node 13, start at 65, k: 5
Node 14, start at 474, k: 3
Node 15, start at 84, k: 5
Node 16, start at 335, k: 3
Node 17, start at 201, k: 7
Node 18, start at 513, k: 3
Node 19, start at 86, k: 11
Node 20, start at 608, k: 3
Node 0, start at 391, k: 5
Node 1, start at 952, k: 5
Node 2, start at 438, k: 5
Node 3, start at 640, k: 5
Node 4, start at 660, k: 5
Node 5, start at 36, k: 5
Node 6, start at 796, k: 5
Node 7, start at 716, k: 5
Node 8, start at 983, k: 5
Node 9, start at 741, k: 5
Node 10, start at 558, k: 5
Node 11, start at 400, k: 5
Node 12, start at 379, k: 5
Node 13, start at 65, k: 5
Node 14, start at 474, k: 5
Node 15, start at 84, k: 5
Node 16, start at 335, k: 5
Node 17, start at 201, k: 5
Node 18, start at 513, k: 5
Node 19, start at 86, k: 5
Node 20, start at 608, k: 5
Node 0, start at 610, k: 3
Node 1, start at 784, k: 7
Node 2, start at 605, k: 5
Node 3, start at 802, k: 3
Node 4, start at 787, k: 3
Node 5, start at 233, k: 7
Node 6, start at 419, k: 3
Node 7, start at 81, k: 11
Node 8, start at 526, k: 11
Node 9, start at 65, k: 7
Node 10, start at 943, k: 19
Node 11, start at 12, k: 7
Node 12, start at 99, k: 3
Node 13, start at 569, k: 7
Node 14, start at 146, k: 5
Node 15, start at 102, k: 3
Node 16, start at 920, k: 5
Node 17, start at 874, k: 5
Node 18, start at 311, k: 5
Node 19, start at 669, k: 19
Node 20, start at 797, k: 5
Node 0, start at 610, k: 5
Node 1, start at 784, k: 5
Node 2, start at 605, k: 5
Node 3, start at 802, k: 5
Node 4, start at 787, k: 5
Node 5, start at 233, k: 5
Node 6, start at 419, k: 5
Node 7, start at 81, k: 5
Node 8, start at 526, k: 5
Node 9, start at 65, k: 5
Node 10, start at 943, k: 5
Node 11, start at 12, k: 5
Node 12, start at 99, k: 5
Node 13, start at 569, k: 5
Node 14, start at 146, k: 5
Node 15, start at 102, k: 5
Node 16, start at 920, k: 5
Node 17, start at 874, k: 5
Node 18, start at 311, k: 5
Node 19, start at 669, k: 5
Node 20, start at 797, k: 5
Node 0, start at 66, k: 3
Node 1, start at 99, k: 7
Node 2, start at 454, k: 5
Node 3, start at 214, k: 3
Node 4, start at 12, k: 11
Node 5, start at 322, k: 5
Node 6, start at 322, k: 3
Node 7, start at 152, k: 7
Node 8, start at 420, k: 7
Node 9, start at 865, k: 3
Node 10, start at 160, k: 7
Node 11, start at 992, k: 19
Node 12, start at 11, k: 7
Node 13, start at 995, k: 19
Node 14, start at 455, k: 3
Node 15, start at 532, k: 7
Node 16, start at 851, k: 3
Node 17, start at 847, k: 3
Node 18, start at 151, k: 11
Node 19, start at 914, k: 7
Node 20, start at 636, k: 3
Node 0, start at 66, k: 5
Node 1, start at 99, k: 5
Node 2, start at 454, k: 5
Node 3, start at 214, k: 5
Node 4, start at 12, k: 5
Node 5, start at 322, k: 5
Node 6, start at 322, k: 5
Node 7, start at 152, k: 5
Node 8, start at 420, k: 5
Node 9, start at 865, k: 5
Node 10, start at 160, k: 5
Node 11, start at 992, k: 5
Node 12, start at 11, k: 5
Node 13, start at 995, k: 5
Node 14, start at 455, k: 5
Node 15, start at 532, k: 5
Node 16, start at 851, k: 5
Node 17, start at 847, k: 5
Node 18, start at 151, k: 5
Node 19, start at 914, k: 5
Node 20, start at 636, k: 5
Node 0, start at 32, k: 7
Node 1, start at 692, k: 19
Node 2, start at 782, k: 19
Node 3, start at 927, k: 7
Node 4, start at 635, k: 19
Node 5, start at 494, k: 11
Node 6, start at 953, k: 5
Node 7, start at 12, k: 5
Node 8, start at 281, k: 7
Node 9, start at 381, k: 19
Node 10, start at 11, k: 7
Node 11, start at 18, k: 7
Node 12, start at 538, k: 5
Node 13, start at 893, k: 5
Node 14, start at 384, k: 7
Node 15, start at 23, k: 7
Node 16, start at 531, k: 5
Node 17, start at 469, k: 3
Node 18, start at 543, k: 3
Node 19, start at 847, k: 5
Node 20, start at 294, k: 5
Node 0, start at 32, k: 5
Node 1, start at 692, k: 5
Node 2, start at 782, k: 5
Node 3, start at 927, k: 5
Node 4, start at 635, k: 5
Node 5, start at 494, k: 5
Node 6, start at 953, k: 5
Node 7, start at 12, k: 5
Node 8, start at 281, k: 5
Node 9, start at 381, k: 5
Node 10, start at 11, k: 5
Node 11, start at 18, k: 5
Node 12, start at 538, k: 5
Node 13, start at 893, k: 5
Node 14, start at 384, k: 5
Node 15, start at 23, k: 5
Node 16, start at 531, k: 5
Node 17, start at 469, k: 5
Node 18, start at 543, k: 5
Node 19, start at 847, k: 5
Node 20, start at 294, k: 5
Node 0, start at 313, k: 5
Node 1, start at 213, k: 19
Node 2, start at 178, k: 11
Node 3, start at 270, k: 3
Node 4, start at 560, k: 19
Node 5, start at 435, k: 3
Node 6, start at 159, k: 7
Node 7, start at 448, k: 11
Node 8, start at 62, k: 3
Node 9, start at 658, k: 11
Node 10, start at 527, k: 11
Node 11, start at 222, k: 11
Node 12, start at 54, k: 7
Node 13, start at 271, k: 11
Node 0, start at 378, k: 5
Node 1, start at 649, k: 5
Node 2, start at 896, k: 7
Node 3, start at 618, k: 7
Node 4, start at 352, k: 11
Node 5, start at 901, k: 19
Node 6, start at 326, k: 7
Node 7, start at 399, k: 5
Node 8, start at 687, k: 5
Node 9, start at 656, k: 5
Node 10, start at 853, k: 5
Node 11, start at 761, k: 19
Node 12, start at 663, k: 7
Node 13, start at 339, k: 3
Node 14, start at 875, k: 3
Node 15, start at 468, k: 19
Node 16, start at 938, k: 3
Node 17, start at 912, k: 3
Node 18, start at 121, k: 3
Node 19, start at 117, k: 11
Node 20, start at 733, k: 11
Node 14, start at 171, k: 7
Node 0, start at 378, k: 5
Node 1, start at 649, k: 5
Node 2, start at 896, k: 5
Node 3, start at 618, k: 5
Node 4, start at 352, k: 5
Node 5, start at 901, k: 5
Node 6, start at 326, k: 5
Node 7, start at 399, k: 5
Node 8, start at 687, k: 5
Node 9, start at 656, k: 5
Node 10, start at 853, k: 5
Node 11, start at 761, k: 5
Node 12, start at 663, k: 5
Node 13, start at 339, k: 5
Node 14, start at 875, k: 5
Node 15, start at 468, k: 5
Node 16, start at 938, k: 5
Node 17, start at 912, k: 5
Node 18, start at 121, k: 5
Node 19, start at 117, k: 5
Node 20, start at 733, k: 5
Node 15, start at 251, k: 7
Node 16, start at 565, k: 7
Node 17, start at 755, k: 3
Node 18, start at 345, k: 3
Node 19, start at 546, k: 3
Node 20, start at 959, k: 5
Node 0, start at 313, k: 5
Node 1, start at 213, k: 5
Node 2, start at 178, k: 5
Node 3, start at 270, k: 5
Node 4, start at 560, k: 5
Node 5, start at 435, k: 5
Node 6, start at 159, k: 5
Node 7, start at 448, k: 5
Node 8, start at 62, k: 5
Node 9, start at 658, k: 5
Node 10, start at 527, k: 5
Node 11, start at 222, k: 5
Node 12, start at 54, k: 5
Node 13, start at 271, k: 5
Node 14, start at 171, k: 5
Node 15, start at 251, k: 5
Node 16, start at 565, k: 5
Node 17, start at 755, k: 5
Node 18, start at 345, k: 5
Node 19, start at 546, k: 5
Node 20, start at 959, k: 5
Node 0, start at 222, k: 5
Node 1, start at 951, k: 5
