Node 0, start at 944, n: 5, c:5
Node 1, start at 931, n: 3, c:3
Node 2, start at 563, n: 3, c:3
Node 3, start at 648, n: 5, c:5
Node 4, start at 685, n: 3, c:3
Node 5, start at 31, n: 5, c:5
Node 6, start at 685, n: 3, c:3
Node 7, start at 215, n: 3, c:3
Node 8, start at 25, n: 3, c:3
Node 9, start at 81, n: 5, c:5
Node 10, start at 123, n: 3, c:3
Node 11, start at 763, n: 5, c:5
Node 12, start at 464, n: 3, c:3
Node 13, start at 310, n: 7, c:7
Node 14, start at 175, n: 13, c:13
Node 15, start at 711, n: 5, c:5
Node 16, start at 541, n: 5, c:5
Node 17, start at 621, n: 5, c:5
Node 18, start at 754, n: 5, c:5
Node 19, start at 413, n: 5, c:5
Node 20, start at 404, n: 3, c:3
Node 0, start at 944, n: 5, c:5
Node 1, start at 931, n: 5, c:5
Node 2, start at 563, n: 5, c:5
Node 3, start at 648, n: 5, c:5
Node 4, start at 685, n: 5, c:5
Node 5, start at 31, n: 5, c:5
Node 6, start at 685, n: 5, c:5
Node 7, start at 215, n: 5, c:5
Node 8, start at 25, n: 5, c:5
Node 9, start at 81, n: 5, c:5
Node 10, start at 123, n: 5, c:5
Node 11, start at 763, n: 5, c:5
Node 12, start at 464, n: 5, c:5
Node 13, start at 310, n: 5, c:5
Node 14, start at 175, n: 5, c:5
Node 15, start at 711, n: 5, c:5
Node 16, start at 541, n: 5, c:5
Node 17, start at 621, n: 5, c:5
Node 18, start at 754, n: 5, c:5
Node 19, start at 413, n: 5, c:5
Node 20, start at 404, n: 5, c:5
Node 0, start at 512, n: 5, c:5
Node 1, start at 169, n: 13, c:13
Node 2, start at 742, n: 7, c:7
Node 3, start at 202, n: 3, c:3
Node 4, start at 211, n: 3, c:3
Node 5, start at 229, n: 7, c:7
Node 6, start at 713, n: 5, c:5
Node 7, start at 285, n: 13, c:13
Node 8, start at 194, n: 3, c:3
Node 9, start at 337, n: 5, c:5
Node 10, start at 906, n: 3, c:3
Node 11, start at 880, n: 13, c:13
Node 12, start at 334, n: 5, c:5
Node 13, start at 318, n: 3, c:3
Node 14, start at 446, n: 5, c:5
Node 15, start at 635, n: 5, c:5
Node 16, start at 747, n: 3, c:3
Node 17, start at 485, n: 5, c:5
Node 18, start at 443, n: 7, c:7
Node 19, start at 573, n: 5, c:5
Node 20, start at 475, n: 11, c:11
Node 0, start at 512, n: 5, c:5
Node 1, start at 169, n: 5, c:5
Node 2, start at 742, n: 5, c:5
Node 3, start at 202, n: 5, c:5
Node 4, start at 211, n: 5, c:5
Node 5, start at 229, n: 5, c:5
Node 6, start at 713, n: 5, c:5
Node 7, start at 285, n: 5, c:5
Node 8, start at 194, n: 5, c:5
Node 9, start at 337, n: 5, c:5
Node 10, start at 906, n: 5, c:5
Node 11, start at 880, n: 5, c:5
Node 12, start at 334, n: 5, c:5
Node 13, start at 318, n: 5, c:5
Node 14, start at 446, n: 5, c:5
Node 15, start at 635, n: 5, c:5
Node 16, start at 747, n: 5, c:5
Node 17, start at 485, n: 5, c:5
Node 18, start at 443, n: 5, c:5
Node 19, start at 573, n: 5, c:5
Node 20, start at 475, n: 5, c:5
Node 0, start at 342, n: 3, c:3
Node 1, start at 723, n: 3, c:3
Node 2, start at 410, n: 13, c:13
Node 3, start at 39, n: 3, c:3
Node 4, start at 589, n: 3, c:3
Node 5, start at 818, n: 3, c:3
Node 6, start at 982, n: 11, c:11
Node 7, start at 6, n: 3, c:3
Node 8, start at 968, n: 11, c:11
Node 9, start at 725, n: 5, c:5
Node 10, start at 145, n: 5, c:5
Node 11, start at 515, n: 13, c:13
Node 12, start at 794, n: 3, c:3
Node 13, start at 320, n: 5, c:5
Node 14, start at 468, n: 11, c:11
Node 15, start at 453, n: 11, c:11
Node 16, start at 917, n: 5, c:5
Node 17, start at 496, n: 5, c:5
Node 18, start at 118, n: 13, c:13
Node 19, start at 651, n: 5, c:5
Node 20, start at 652, n: 5, c:5
Node 0, start at 342, n: 5, c:5
Node 1, start at 723, n: 5, c:5
Node 2, start at 410, n: 5, c:5
Node 3, start at 39, n: 5, c:5
Node 4, start at 589, n: 5, c:5
Node 5, start at 818, n: 5, c:5
Node 6, start at 982, n: 5, c:5
Node 7, start at 6, n: 5, c:5
Node 8, start at 968, n: 5, c:5
Node 9, start at 725, n: 5, c:5
Node 10, start at 145, n: 5, c:5
Node 11, start at 515, n: 5, c:5
Node 12, start at 794, n: 5, c:5
Node 13, start at 320, n: 5, c:5
