Node 0, start at 801, anchor: 7
Node 1, start at 563, anchor: 7
Node 2, start at 282, anchor: 13
Node 3, start at 314, anchor: 19
Node 4, start at 314, anchor: 5
Node 5, start at 800, anchor: 7
Node 6, start at 233, anchor: 11
Node 7, start at 533, anchor: 7
Node 8, start at 754, anchor: 3
Node 9, start at 351, anchor: 3
Node 10, start at 580, anchor: 13
Node 11, start at 653, anchor: 11
Node 12, start at 868, anchor: 5
Node 13, start at 98, anchor: 5
Node 14, start at 810, anchor: 5
Node 15, start at 317, anchor: 19
Node 16, start at 399, anchor: 5
Node 17, start at 625, anchor: 19
Node 18, start at 58, anchor: 13
Node 19, start at 671, anchor: 5
Node 20, start at 825, anchor: 7
Node 0, start at 801, anchor: 7
Node 1, start at 563, anchor: 7
Node 2, start at 282, anchor: 7
Node 3, start at 314, anchor: 7
Node 4, start at 314, anchor: 7
Node 5, start at 800, anchor: 7
Node 6, start at 233, anchor: 7
Node 7, start at 533, anchor: 7
Node 8, start at 754, anchor: 7
Node 9, start at 351, anchor: 7
Node 10, start at 580, anchor: 7
Node 11, start at 653, anchor: 7
Node 12, start at 868, anchor: 7
Node 13, start at 98, anchor: 7
Node 14, start at 810, anchor: 7
Node 15, start at 317, anchor: 7
Node 16, start at 399, anchor: 7
Node 17, start at 625, anchor: 7
Node 18, start at 58, anchor: 7
Node 19, start at 671, anchor: 7
Node 20, start at 825, anchor: 7
Node 0, start at 920, anchor: 3
Node 1, start at 509, anchor: 5
Node 2, start at 668, anchor: 3
Node 3, start at 281, anchor: 5
Node 4, start at 399, anchor: 19
Node 5, start at 961, anchor: 19
Node 6, start at 891, anchor: 5
Node 7, start at 209, anchor: 5
Node 8, start at 884, anchor: 5
Node 9, start at 728, anchor: 11
Node 10, start at 440, anchor: 5
Node 11, start at 592, anchor: 7
Node 12, start at 648, anchor: 19
Node 13, start at 742, anchor: 13
Node 14, start at 393, anchor: 13
Node 15, start at 160, anchor: 5
Node 16, start at 23, anchor: 3
Node 17, start at 852, anchor: 11
Node 18, start at 413, anchor: 7
Node 19, start at 271, anchor: 19
Node 20, start at 997, anchor: 7
Node 0, start at 920, anchor: 19
Node 1, start at 509, anchor: 19
Node 2, start at 668, anchor: 19
Node 3, start at 281, anchor: 19
Node 4, start at 399, anchor: 19
Node 5, start at 961, anchor: 19
Node 6, start at 891, anchor: 19
Node 7, start at 209, anchor: 19
Node 8, start at 884, anchor: 19
Node 9, start at 728, anchor: 19
Node 10, start at 440, anchor: 19
Node 11, start at 592, anchor: 19
Node 12, start at 648, anchor: 19
Node 13, start at 742, anchor: 19
Node 14, start at 393, anchor: 19
Node 15, start at 160, anchor: 19
Node 16, start at 23, anchor: 19
Node 17, start at 852, anchor: 19
Node 18, start at 413, anchor: 19
Node 19, start at 271, anchor: 19
Node 20, start at 997, anchor: 19
Node 0, start at 178, anchor: 7
Node 1, start at 532, anchor: 5
Node 2, start at 888, anchor: 7
Node 3, start at 881, anchor: 5
Node 4, start at 681, anchor: 3
Node 5, start at 419, anchor: 11
Node 6, start at 333, anchor: 3
Node 7, start at 740, anchor: 19
Node 8, start at 850, anchor: 13
Node 9, start at 467, anchor: 13
Node 10, start at 689, anchor: 11
Node 11, start at 707, anchor: 3
Node 12, start at 887, anchor: 5
Node 13, start at 264, anchor: 7
Node 14, start at 382, anchor: 7
Node 15, start at 773, anchor: 5
Node 16, start at 700, anchor: 5
Node 17, start at 514, anchor: 13
Node 18, start at 234, anchor: 5
Node 19, start at 356, anchor: 5
Node 20, start at 525, anchor: 13
Node 0, start at 178, anchor: 11
Node 1, start at 532, anchor: 11
Node 2, start at 888, anchor: 11
Node 3, start at 881, anchor: 11
Node 4, start at 681, anchor: 11
Node 5, start at 419, anchor: 11
Node 6, start at 333, anchor: 11
Node 7, start at 740, anchor: 11
Node 8, start at 850, anchor: 11
