Node 0, start at 815, n: 5, c:11
Node 1, start at 881, n: 5, c:11
Node 2, start at 915, n: 2, c:11
Node 3, start at 655, n: 2, c:11
Node 4, start at 158, n: 2, c:11
Node 5, start at 813, n: 2, c:11
Node 6, start at 755, n: 2, c:11
Node 7, start at 627, n: 2, c:11
Node 8, start at 249, n: 53, c:11
Node 9, start at 906, n: 3, c:11
Node 10, start at 805, n: 2, c:11
Node 11, start at 605, n: 3, c:11
Node 12, start at 472, n: 5, c:11
Node 13, start at 795, n: 2, c:11
Node 14, start at 922, n: 2, c:11
Node 15, start at 420, n: 5, c:11
Node 16, start at 429, n: 7, c:11
Node 17, start at 480, n: 7, c:11
Node 18, start at 697, n: 2, c:11
Node 19, start at 952, n: 2, c:11
Node 20, start at 487, n: 2, c:11
Node 0, start at 815, n: 2, c:11
Node 1, start at 881, n: 2, c:11
Node 2, start at 915, n: 2, c:11
Node 3, start at 655, n: 2, c:11
Node 4, start at 158, n: 2, c:11
Node 5, start at 813, n: 2, c:11
Node 6, start at 755, n: 2, c:11
Node 7, start at 627, n: 2, c:11
Node 8, start at 249, n: 2, c:11
Node 9, start at 906, n: 2, c:11
Node 10, start at 805, n: 2, c:11
Node 11, start at 605, n: 2, c:11
Node 12, start at 472, n: 2, c:11
Node 13, start at 795, n: 2, c:11
Node 14, start at 922, n: 2, c:11
Node 15, start at 420, n: 2, c:11
Node 16, start at 429, n: 2, c:11
Node 17, start at 480, n: 2, c:11
Node 18, start at 697, n: 2, c:11
Node 19, start at 952, n: 2, c:11
Node 20, start at 487, n: 2, c:11
Node 0, start at 885, n: 2, c:11
Node 1, start at 29, n: 2, c:11
Node 2, start at 386, n: 2, c:11
Node 3, start at 338, n: 53, c:11
Node 4, start at 740, n: 3, c:11
Node 5, start at 628, n: 2, c:11
Node 6, start at 97, n: 2, c:11
Node 7, start at 160, n: 2, c:11
Node 8, start at 378, n: 2, c:11
Node 9, start at 132, n: 7, c:11
Node 10, start at 281, n: 2, c:11
Node 11, start at 404, n: 5, c:11
Node 12, start at 638, n: 5, c:11
Node 13, start at 828, n: 2, c:11
Node 14, start at 477, n: 5, c:11
Node 15, start at 704, n: 3, c:11
Node 16, start at 109, n: 5, c:11
Node 17, start at 237, n: 2, c:11
Node 18, start at 747, n: 7, c:11
Node 19, start at 30, n: 2, c:11
Node 20, start at 258, n: 2, c:11
Node 0, start at 885, n: 53, c:11
Node 1, start at 29, n: 53, c:11
Node 2, start at 386, n: 53, c:11
Node 3, start at 338, n: 53, c:11
Node 4, start at 740, n: 53, c:11
Node 5, start at 628, n: 53, c:11
Node 6, start at 97, n: 53, c:11
Node 7, start at 160, n: 53, c:11
Node 8, start at 378, n: 53, c:11
Node 9, start at 132, n: 53, c:11
Node 10, start at 281, n: 53, c:11
Node 11, start at 404, n: 53, c:11
Node 12, start at 638, n: 53, c:11
Node 13, start at 828, n: 53, c:11
Node 14, start at 477, n: 53, c:11
Node 15, start at 704, n: 53, c:11
Node 16, start at 109, n: 53, c:11
Node 17, start at 237, n: 53, c:11
Node 18, start at 747, n: 53, c:11
Node 19, start at 30, n: 53, c:11
Node 20, start at 258, n: 53, c:11
Node 0, start at 997, n: 53, c:11
Node 1, start at 233, n: 2, c:11
Node 2, start at 846, n: 3, c:11
Node 3, start at 192, n: 2, c:11
Node 4, start at 156, n: 5, c:11
Node 5, start at 199, n: 2, c:11
Node 6, start at 896, n: 2, c:11
Node 7, start at 241, n: 53, c:11
Node 8, start at 459, n: 2, c:11
Node 9, start at 767, n: 53, c:11
Node 10, start at 921, n: 7, c:11
Node 11, start at 523, n: 3, c:11
Node 12, start at 179, n: 2, c:11
Node 13, start at 650, n: 2, c:11
Node 14, start at 649, n: 2, c:11
Node 15, start at 391, n: 5, c:11
Node 16, start at 806, n: 2, c:11
Node 17, start at 785, n: 5, c:11
Node 18, start at 754, n: 2, c:11
Node 19, start at 222, n: 3, c:11
Node 20, start at 262, n: 2, c:11
Node 0, start at 997, n: 5, c:11
Node 1, start at 233, n: 5, c:11
Node 2, start at 846, n: 5, c:11
Node 3, start at 192, n: 5, c:11
Node 4, start at 156, n: 5, c:11
Node 5, start at 199, n: 5, c:11
Node 6, start at 896, n: 5, c:11
Node 7, start at 241, n: 5, c:11
Node 8, start at 459, n: 5, c:11
Node 9, start at 767, n: 5, c:11
Node 10, start at 921, n: 5, c:11
Node 11, start at 523, n: 5, c:11
Node 12, start at 179, n: 5, c:11
Node 13, start at 650, n: 5, c:11
Node 14, start at 649, n: 5, c:11
Node 15, start at 391, n: 5, c:11
Node 16, start at 806, n: 5, c:11
Node 17, start at 785, n: 5, c:11
Node 18, start at 754, n: 5, c:11
Node 19, start at 222, n: 5, c:11
Node 20, start at 262, n: 5, c:11
Node 0, start at 437, n: 2, c:11
Node 1, start at 657, n: 2, c:11
Node 2, start at 198, n: 2, c:11
Node 3, start at 320, n: 2, c:11
Node 4, start at 265, n: 2, c:11
Node 5, start at 978, n: 2, c:11
Node 6, start at 358, n: 3, c:11
Node 7, start at 536, n: 2, c:11
Node 8, start at 664, n: 3, c:11
Node 9, start at 642, n: 2, c:11
Node 10, start at 43, n: 2, c:11
Node 11, start at 977, n: 5, c:11
Node 12, start at 453, n: 2, c:11
Node 13, start at 487, n: 7, c:11
Node 14, start at 34, n: 2, c:11
Node 15, start at 554, n: 2, c:11
Node 16, start at 920, n: 2, c:11
Node 17, start at 784, n: 3, c:11
Node 18, start at 97, n: 7, c:11
Node 19, start at 403, n: 2, c:11
Node 20, start at 608, n: 2, c:11
Node 0, start at 437, n: 2, c:11
Node 1, start at 657, n: 2, c:11
Node 2, start at 198, n: 2, c:11
Node 3, start at 320, n: 2, c:11
Node 4, start at 265, n: 2, c:11
Node 5, start at 978, n: 2, c:11
Node 6, start at 358, n: 2, c:11
Node 7, start at 536, n: 2, c:11
Node 8, start at 664, n: 2, c:11
Node 9, start at 642, n: 2, c:11
Node 10, start at 43, n: 2, c:11
Node 11, start at 977, n: 2, c:11
Node 12, start at 453, n: 2, c:11
