Node 0, start at 262, n: 3, c:3
Node 1, start at 466, n: 11, c:11
Node 2, start at 773, n: 11, c:11
Node 3, start at 382, n: 5, c:5
Node 4, start at 666, n: 5, c:5
Node 5, start at 214, n: 3, c:3
Node 6, start at 736, n: 5, c:5
Node 7, start at 952, n: 13, c:13
Node 8, start at 597, n: 5, c:5
Node 9, start at 847, n: 5, c:5
Node 10, start at 143, n: 3, c:3
Node 11, start at 500, n: 5, c:5
Node 12, start at 693, n: 5, c:5
Node 13, start at 216, n: 3, c:3
Node 14, start at 25, n: 13, c:13
Node 15, start at 485, n: 5, c:5
Node 16, start at 423, n: 3, c:3
Node 17, start at 178, n: 3, c:3
Node 18, start at 106, n: 3, c:3
Node 19, start at 929, n: 3, c:3
Node 20, start at 745, n: 13, c:13
Node 0, start at 262, n: 5, c:5
Node 1, start at 466, n: 5, c:5
Node 2, start at 773, n: 5, c:5
Node 3, start at 382, n: 5, c:5
Node 4, start at 666, n: 5, c:5
Node 5, start at 214, n: 5, c:5
Node 6, start at 736, n: 5, c:5
Node 7, start at 952, n: 5, c:5
Node 8, start at 597, n: 5, c:5
Node 9, start at 847, n: 5, c:5
Node 10, start at 143, n: 5, c:5
Node 11, start at 500, n: 5, c:5
Node 12, start at 693, n: 5, c:5
Node 13, start at 216, n: 5, c:5
Node 14, start at 25, n: 5, c:5
Node 15, start at 485, n: 5, c:5
Node 16, start at 423, n: 5, c:5
Node 17, start at 178, n: 5, c:5
Node 18, start at 106, n: 5, c:5
Node 19, start at 929, n: 5, c:5
Node 20, start at 745, n: 5, c:5
Node 0, start at 52, n: 3, c:3
Node 1, start at 915, n: 5, c:5
Node 2, start at 466, n: 3, c:3
Node 3, start at 395, n: 7, c:7
Node 4, start at 144, n: 11, c:11
Node 5, start at 277, n: 3, c:3
Node 6, start at 255, n: 3, c:3
Node 7, start at 265, n: 5, c:5
Node 8, start at 907, n: 3, c:3
Node 9, start at 729, n: 5, c:5
Node 10, start at 926, n: 3, c:3
Node 11, start at 103, n: 3, c:3
Node 12, start at 159, n: 3, c:3
Node 13, start at 827, n: 11, c:11
Node 14, start at 760, n: 5, c:5
Node 15, start at 898, n: 5, c:5
Node 16, start at 469, n: 13, c:13
Node 17, start at 739, n: 3, c:3
Node 18, start at 349, n: 5, c:5
Node 19, start at 925, n: 3, c:3
Node 20, start at 466, n: 5, c:5
Node 0, start at 52, n: 13, c:13
Node 1, start at 915, n: 13, c:13
Node 2, start at 466, n: 13, c:13
Node 3, start at 395, n: 13, c:13
Node 4, start at 144, n: 13, c:13
Node 5, start at 277, n: 13, c:13
Node 6, start at 255, n: 13, c:13
Node 7, start at 265, n: 13, c:13
Node 8, start at 907, n: 13, c:13
Node 9, start at 729, n: 13, c:13
Node 10, start at 926, n: 13, c:13
Node 11, start at 103, n: 13, c:13
Node 12, start at 159, n: 13, c:13
Node 13, start at 827, n: 13, c:13
Node 14, start at 760, n: 13, c:13
Node 15, start at 898, n: 13, c:13
Node 16, start at 469, n: 13, c:13
Node 17, start at 739, n: 13, c:13
Node 18, start at 349, n: 13, c:13
Node 19, start at 925, n: 13, c:13
Node 20, start at 466, n: 13, c:13
Node 0, start at 381, n: 7, c:7
Node 1, start at 205, n: 3, c:3
Node 2, start at 558, n: 5, c:5
Node 3, start at 189, n: 3, c:3
Node 4, start at 745, n: 5, c:5
Node 5, start at 784, n: 5, c:5
Node 6, start at 976, n: 7, c:7
Node 7, start at 585, n: 3, c:3
Node 8, start at 575, n: 5, c:5
Node 9, start at 350, n: 5, c:5
Node 10, start at 801, n: 5, c:5
Node 11, start at 594, n: 5, c:5
Node 12, start at 109, n: 3, c:3
Node 13, start at 869, n: 3, c:3
Node 14, start at 272, n: 5, c:5
Node 15, start at 114, n: 5, c:5
Node 16, start at 974, n: 11, c:11
Node 17, start at 630, n: 7, c:7
Node 18, start at 503, n: 5, c:5
Node 19, start at 491, n: 11, c:11
Node 20, start at 471, n: 5, c:5
Node 0, start at 381, n: 7, c:7
